"","Site_Name","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTempWarmestMonth","MinTempColdestMonth","TempAnnualRange","MeanTempWettestQuarter","MeanTempDriestQuarter","MeanTempWarmestQuarter","MeanTempColdestQuarter","AnnualPrecipitation","PrecipWettestMonth","PrecipDriestMonth","PrecipSeasonality","PrecipWettestQuarter","PrecipDriestQuarter","PrecipWarmestQuarter","PrecipColdestQuarter"
"1","Frankland",14.6423330307007,9.66399955749512,54.5372505187988,301.442047119141,24.7239990234375,7.00400018692017,17.7199993133545,11.1486663818359,18.1653327941895,18.4680004119873,11.1486663818359,1053,173,24,61.6930046081543,473,80,88,473
"2","Collins",15.2336664199829,9.3953332901001,52.5466079711914,314.418640136719,25.57200050354,7.69199991226196,17.8800010681152,11.6346664428711,18.988000869751,19.2840003967285,11.6346664428711,1148,202,22,69.874885559082,552,70,75,552
"3","Clare",15.054666519165,9.243332862854,54.3853492736816,288.841918945312,24.7199993133545,7.72399997711182,16.9959983825684,11.7453336715698,18.4200000762939,18.7520008087158,11.7453336715698,1193,202,25,63.990608215332,549,84,94,549
"4","Sutton",15.1561670303345,9.92166709899902,52.6627731323242,331.279541015625,26.07200050354,7.23199987411499,18.8400001525879,11.3599996566772,19.1366672515869,19.4086666107178,11.3599996566772,1012,179,20,68.5655364990234,484,65,70,484
"5","Giants",14.988166809082,9.32899951934814,54.7862358093262,287.307983398438,24.7439994812012,7.71600008010864,17.0279998779297,11.7333335876465,18.3186664581299,18.681999206543,11.7333335876465,1123,183,27,60.6022338867188,501,87,97,501
"6","Warren",15.5799999237061,9.30999946594238,52.7180061340332,308.325164794922,25.7600002288818,8.10000038146973,17.6599998474121,12.0673332214355,19.2760009765625,19.5593338012695,12.0673332214355,1205,216,22,71.2433776855469,585,71,75,585
"7","Dawson",14.824333190918,9.35200023651123,54.2207794189453,293.189819335938,24.6800003051758,7.43200016021729,17.2480010986328,11.4646663665771,18.2493324279785,18.5686664581299,11.4646663665771,1125,189,25,63.127742767334,514,83,92,514
"8","Carey",15.4063329696655,9.33266639709473,52.3601150512695,316.232543945312,25.6879997253418,7.86399984359741,17.8239994049072,11.8366670608521,19.1959991455078,19.4973335266113,11.8366670608521,1191,216,21,70.5409164428711,576,72,75,576
"9","Dombakup",15.389666557312,9.08133316040039,52.3600845336914,304.180084228516,25.4120006561279,8.06799983978271,17.3440017700195,11.945333480835,19.029333114624,19.3206672668457,11.945333480835,1215,215,23,70.5108184814453,586,73,78,586
"10","Bird",9.82250022888184,8.05299949645996,48.0833511352539,307.062072753906,18.9479999542236,2.20000004768372,16.7479991912842,6.56333351135254,13.5086669921875,13.5086669921875,5.93933343887329,1555,173,76,23.9852962493896,499,258,258,472
"11","Flowerdale",11.5425004959106,7.50966644287109,48.7640686035156,284.040649414062,19.92799949646,4.52799987792969,15.3999996185303,8.35733318328857,15.1326665878296,15.1326665878296,8.10333347320557,1433,191,54,36.1854057312012,511,193,193,510
"12","Dip",11.4029998779297,7.54133367538452,48.9569778442383,282.518524169922,19.8320007324219,4.42799997329712,15.4040012359619,8.23799991607666,14.9860000610352,14.9860000610352,7.99866676330566,1411,185,53,35.9965171813965,504,191,191,499
"13","Weld",10.2014999389648,8.53033351898193,49.5603828430176,308.878967285156,19.6000003814697,2.38800001144409,17.2119998931885,6.94266653060913,13.9040002822876,13.9040002822876,6.2946662902832,1370,150,66,23.6866626739502,433,225,225,411
"14","ZigZag",10.2419996261597,8.34333324432373,48.7572059631348,307.902465820312,19.4640007019043,2.35199999809265,17.1120014190674,6.98600006103516,13.9146671295166,13.9153327941895,6.33466672897339,1366,151,66,23.8509960174561,439,229,256,411
"15","NorthStyx",8.54566669464111,8.68200016021729,49.0508499145508,320.502410888672,18.507999420166,0.808000028133392,17.6999988555908,5.11733341217041,12.4326667785645,12.4326667785645,4.58133316040039,1482,163,82,21.6190299987793,473,263,290,435
"16","Newline",10.4573335647583,10.7993335723877,47.6497230529785,423.305999755859,22.503999710083,-0.159999996423721,22.6639995574951,15.5580005645752,5.82333326339722,15.5580005645752,5.13000011444092,939,114,52,23.2677669525146,288,162,288,194
"17","WaratahMix",10.7399997711182,9.62533283233643,45.9048690795898,406.340667724609,22.1200008392334,1.15199995040894,20.9680004119873,15.6626663208008,6.3013334274292,15.6626663208008,5.64599990844727,882,97,52,18.4444465637207,251,169,251,191
"18","WogWay",10.460000038147,9.77600002288818,46.0090370178223,410.265075683594,22.003999710083,0.755999982357025,21.2479991912842,15.4300003051758,5.95599985122681,15.4300003051758,5.32533359527588,923,103,54,18.9768142700195,266,174,266,200
"19","Goodenia",13.6721668243408,10.0109996795654,50.3267631530762,361.501159667969,23.7840003967285,3.89199995994568,19.8920001983643,18.0499992370605,9.68599987030029,18.0499992370605,9.09066677093506,862,105,45,23.4897785186768,262,149,262,167
"20","Candelo",12.4046669006348,9.98999977111816,49.4065284729004,372.968200683594,22.8719997406006,2.65199995040894,20.2199993133545,16.931999206543,8.26733303070068,16.931999206543,7.70066690444946,867,107,45,24.4012660980225,269,148,269,168
"21","ANU101",10.4963331222534,8.02600002288818,40.0339164733887,414.861480712891,22.3920001983643,2.3439998626709,20.0480003356934,5.76999998092651,15.731333732605,15.731333732605,5.49200010299683,1484,164,68,23.4294853210449,463,247,247,451
"22","Ada Tree",10.3061666488647,8.27966690063477,41.4979286193848,405.279815673828,22.0279998779297,2.07599997520447,19.9519996643066,5.7020001411438,15.4446659088135,15.4446659088135,5.42133331298828,1565,177,67,25.4833507537842,500,254,254,478
"23","Weeaproinah",11.4119997024536,6.59133338928223,43.3184394836426,301.712219238281,20.2479991912842,5.03200006484985,15.2159996032715,7.77400016784668,15.2833337783813,15.2833337783813,7.77400016784668,1856,223,72,32.9584922790527,644,271,271,644
"24","ANU363",11.8733329772949,8.83800029754639,42.6133079528809,407.632751464844,24.007999420166,3.26800012588501,20.7399997711182,8.87333297729492,16.978666305542,16.978666305542,6.89266681671143,1388,158,64,24.8190479278564,439,224,224,426
"25","ANU589",11.8733329772949,8.83800029754639,42.6133079528809,407.632751464844,24.007999420166,3.26800012588501,20.7399997711182,8.87333297729492,16.978666305542,16.978666305542,6.89266681671143,1388,158,64,24.8190479278564,439,224,224,426
"26","Turtons",11.5553331375122,6.13066673278809,41.9449005126953,298.128051757812,20.0279998779297,5.41200017929077,14.6159992218018,7.97333335876465,15.3880004882812,15.3880004882812,7.97333335876465,1563,183,61,31.6786594390869,533,234,234,533
"27","Lardner",11.3811664581299,6.19633340835571,42.0603675842285,300.460144042969,19.9519996643066,5.21999979019165,14.7320003509521,7.77466678619385,15.2433338165283,15.2433338165283,7.77466678619385,1681,197,66,31.9846382141113,576,250,250,576
